pdes,full_name,a,e,i,om,w,q,ad,per_y,condition_code,class,H,H_sigma,G,diameter,diameter_sigma,extent,albedo,rot_per,spec_B,spec_T
62,"    62 Erato (A860 RD)",3.128634481203656,.1676604022364676,2.236569807911387,125.1225483396039,277.1761426407845,2.604086365634169,3.653182596773143,5.53401641998482,0,MBA,8.7,,,106.921,0.658,,0.048,9.2213,Ch,BU
63,"    63 Ausonia (A861 CA)",2.395219137548108,.1269570367759726,5.776414371984401,337.7211279349495,296.0654743537063,2.091129213415899,2.699309061680316,3.70702983833999,0,MBA,7.4,,0.25,116.044,1.747,,0.125,9.298,Sa,S
64,"    64 Angelina (A861 EA)",2.683409424284931,.1252171382746806,1.309846332859939,309.0971658473081,179.224453830762,2.347400575356664,3.019418273213198,4.3958069702665,0,MBA,8.0,,0.48,58.292,1.082,,0.483,8.752,Xe,E
65,"    65 Cybele (A861 EB)",3.424837725230764,.1120460133528073,3.564035479809091,155.6184003144072,102.8303083146706,3.04109831173836,3.808577138723169,6.33823300048687,0,OMB,6.8,,0.01,237.26,4.2,,0.0706,6.0814,Xc,P
66,"    66 Maja (A861 GA)",2.645381844037975,.173011703067438,3.046003529425469,7.493463879571991,43.8929744610278,2.187699825937286,3.103063862138665,4.30269691425156,0,MBA,9.5,,,71.82,5.3,,0.016,9.73509,Ch,C
67,"    67 Asia (A861 HA)",2.421378225618015,.1851483191083276,6.028907342542122,202.4112687255707,106.8904832120861,1.973064117219334,2.869692334016695,3.76792414662021,0,MBA,8.3,,,56.309,0.396,,0.228,15.853,S,S
68,"    68 Leto (A861 HB)",2.782394239593489,.1851751872003273,7.961436922014987,44.07992331340085,304.43828884,2.267163865411652,3.297624613775326,4.64126323395023,0,MBA,6.9,,0.05,122.509,3.137,,0.228,14.848,,S
69,"    69 Hesperia (A861 HC)",2.976822651417755,.1702603045314897,8.590967438233175,184.9850107957625,289.1127735613105,2.469987920251131,3.483657382584379,5.13614936234758,0,MBA,7.2,,0.19,138.13,4.7,,0.1402,5.655,X,M
70,"    70 Panopaea (A861 JA)",2.616382047243307,.1805059628337619,11.59282235059269,47.68987643741382,255.4790587098686,2.144109486664685,3.088654607821929,4.23213919292895,0,MBA,8.1,,0.14,127.911,0.745,,0.038,15.8052,Ch,C
71,"    71 Niobe (A861 PA)",2.755692234831533,.1732058269282425,23.265315131,316.0050396618733,267.0701973378162,2.278390282537801,3.232994187125265,4.57461206383465,0,MBA,7.1,,0.40,83.42,1.7,,0.3052,35.864,Xe,S
72,"    72 Feronia (A861 KA)",2.26646779969147,.1204859407953289,5.415447343832139,207.960676354907,102.8993663963734,1.993390294563324,2.539545304819616,3.41218470724742,0,MBA,9.1,,,74.966,1.168,,0.083,8.097,,TDG
73,"    73 Klytia (A862 GA)",2.666375290461866,.04179962773785129,2.368882349263681,6.879388093489646,53.84370150297067,2.554921795911155,2.777828785012578,4.35401695905849,0,MBA,9.0,,,44.590,0.941,,0.223,8.297,,S
74,"    74 Galatea (A862 QA)",2.780263372014945,.2358492935294501,4.070702939477214,197.1434143153135,174.538205118434,2.124540219899414,3.435986524130477,4.63593256040094,0,MBA,8.7,,,118.71,2.8,,0.0431,17.268,C,C
75,"    75 Eurydike (A862 SA)",2.673994296658855,.3035218995439744,4.99151290548537,359.3390470464506,339.3368138499821,1.862378468367206,3.485610124950504,4.37269229446608,0,MBA,9.0,,0.23,62.377,1.603,,0.117,5.357,Xk,M
76,"    76 Freia (A862 UA)",3.414264879960957,.1660108541263881,2.121333231986045,204.3009753071057,252.2669920501056,2.847459851024909,3.981069908897005,6.30890544558819,0,OMB,8.0,,,145.423,1.287,,0.058,9.973,X,P
77,"    77 Frigga (A862 VA)",2.668864036017775,.1325578468827485,2.422694820075003,1.144565020242446,61.78324892822577,2.315085165780457,3.022642906255094,4.36011432007676,0,MBA,8.6,,0.16,61.390,0.177,,0.177,9.012,Xe,MU
78,"    78 Diana (A863 EA)",2.61880818154523,.2071483697387698,8.701904819953583,333.3971847496883,152.7401012042944,2.076326336079583,3.161290027010877,4.23802716215263,0,MBA,8.4,,0.08,120.60,2.7,,0.0706,7.2991,Ch,C
79,"    79 Eurynome (A863 RA)",2.444635923188253,.1899579235593314,4.612512748478048,206.533616477539,201.5110133515556,1.980257959360863,2.909013887015643,3.82234150462405,0,MBA,8.0,,0.25,63.479,0.952,,0.287,5.978,S,S
80,"    80 Sappho (A864 JA)",2.295291517189751,.2003134477424353,8.676073494987232,218.6882237658396,139.619521401314,1.835513759807506,2.755069274571995,3.47748271295234,0,MBA,8.0,,,68.563,1.033,,0.206,14.030,S,S
81,"    81 Terpsichore (A864 SA)",2.853711594746076,.2108473500459581,7.80314034698674,.9479424692936758,51.63427775335209,2.252014067198441,3.455409122293711,4.82084670627146,0,MBA,8.6,,,117.727,0.734,,0.045,10.943,Cb,C
82,"    82 Alkmene (A864 WA)",2.762811974182417,.2202808135719321,2.82647313160241,25.44437279777465,111.1670751618484,2.154217504763238,3.371406443601596,4.59235229265027,0,MBA,8.2,,0.28,57.621,0.714,,0.167,12.999,Sq,S
83,"    83 Beatrix (A865 HA)",2.431964225188723,.08129868898076806,4.963774679103388,27.72641328163354,168.5949563021062,2.234248722032751,2.629679728344696,3.79266055929026,0,MBA,8.8,,,110.503,0.829,,0.050,10.16,X,X
84,"    84 Klio (A865 QA)",2.361855750260816,.2361857637694817,9.317399547520688,327.5145876261111,15.14255289495806,1.804019045972123,2.919692454549509,3.62984647412033,0,MBA,9.4,,,79.16,1.6,,0.0527,23.562,Ch,G
85,"    85 Io (A865 SA)",2.652997727197547,.194709334323011,11.95939852489645,203.1041676239805,122.9016251554906,2.136434305774451,3.169561148620643,4.32129106007207,0,MBA,7.7,,,154.79,3.8,,0.0666,6.875,B,FC
86,"    86 Semele (A866 AA)",3.107374383285734,.2151374597539971,4.820528131678785,86.09722831414874,308.9030578440489,2.438861751960998,3.775887014610471,5.47770417059941,0,MBA,8.7,,,109.929,0.609,,0.056,16.634,,C
87,"    87 Sylvia (A866 KA)",3.482070735734205,.09340361516728821,10.87598597873656,73.0406379856919,263.5897277669318,3.156832740748411,3.807308730719998,6.4977737624249,0,OMB,6.8,,,253.051,2.953,,0.046,5.184,X,P
88,"    88 Thisbe (A866 LA)",2.770007817009361,.1617533751549492,5.214024446754373,276.4597281957084,36.34500289575983,2.321949703402504,3.218065930616218,4.61030538910802,0,MBA,7.2,,0.14,232,,,0.0671,6.042,B,CF
89,"    89 Julia (A866 PA)",2.549542995155254,.1850083812612438,16.13084151679416,311.5533295556952,45.32886440711977,2.077856172665637,3.02122981764487,4.07100572046383,0,MBA,6.8,,0.15,145.483,1.265,,0.189,11.387,K,S
